
============================================================
Step 0: Entering Phase 1: Easy (0.0-1.0)
Training pool: 1293581 puzzles
============================================================

Step 10900 | Loss: 0.5576 Acc: 91.89%
Step 11000 | Loss: 0.5016 Acc: 94.26%
Step 11100 | Loss: 0.5118 Acc: 93.73%
Step 11200 | Loss: 0.6685 Acc: 86.32%
Step 11300 | Loss: 0.5076 Acc: 93.65%
Step 11400 | Loss: 0.5349 Acc: 92.63%
Step 11500 | Loss: 0.5330 Acc: 92.31%
Step 11600 | Loss: 0.5243 Acc: 93.53%
Step 11700 | Loss: 0.5392 Acc: 92.78%
Step 11800 | Loss: 0.5102 Acc: 94.40%
Step 11900 | Loss: 0.5317 Acc: 92.67%
Step 12000 | Loss: 0.5657 Acc: 91.95%
Step 12100 | Loss: 0.5471 Acc: 92.08%
Step 12200 | Loss: 0.5038 Acc: 94.24%
Step 12300 | Loss: 0.4954 Acc: 95.06%
Step 12400 | Loss: 0.5185 Acc: 92.41%
Step 12500 | Loss: 0.5389 Acc: 92.47%
Step 12600 | Loss: 0.5780 Acc: 91.22%
Step 12700 | Loss: 0.4902 Acc: 94.79%
Step 12800 | Loss: 0.5539 Acc: 92.10%
Step 12900 | Loss: 0.5766 Acc: 90.75%
Step 13000 | Loss: 0.5786 Acc: 90.94%
Step 13100 | Loss: 0.5547 Acc: 92.72%
Step 13200 | Loss: 0.5720 Acc: 91.40%
Step 13300 | Loss: 0.4961 Acc: 94.28%
Step 13400 | Loss: 0.5180 Acc: 93.85%
Step 13500 | Loss: 0.5222 Acc: 92.46%
Step 13600 | Loss: 0.5121 Acc: 94.11%
Step 13700 | Loss: 0.4849 Acc: 94.55%
Step 13800 | Loss: 0.5300 Acc: 92.40%
Step 13900 | Loss: 0.5283 Acc: 92.71%
Step 14000 | Loss: 0.4971 Acc: 94.70%
Step 14100 | Loss: 0.5168 Acc: 92.37%
Step 14200 | Loss: 0.5171 Acc: 93.32%
Step 14300 | Loss: 0.4910 Acc: 94.52%
Step 14400 | Loss: 0.5352 Acc: 92.81%
Step 14500 | Loss: 0.4862 Acc: 94.63%
Step 14600 | Loss: 0.5974 Acc: 89.59%
Step 14700 | Loss: 0.5090 Acc: 93.98%
Step 14800 | Loss: 0.5101 Acc: 93.86%
Step 14900 | Loss: 0.4810 Acc: 95.17%
Step 15000 | Loss: 0.5340 Acc: 92.01% | 0.0: 455/500 | 1.x: 320/500 | 2.x: 247/500 | 3.x: 186/500 | 4.x+: 146/500 | Total: 1354/2500
Step 15100 | Loss: 0.4938 Acc: 93.79%
Step 15200 | Loss: 0.5094 Acc: 93.75%
Step 15300 | Loss: 0.4997 Acc: 93.73%
Step 15400 | Loss: 0.4704 Acc: 96.00%
Step 15500 | Loss: 0.5448 Acc: 91.98%
Step 15600 | Loss: 0.5491 Acc: 92.43%
Step 15700 | Loss: 0.4937 Acc: 94.36%
Step 15800 | Loss: 0.5166 Acc: 93.06%
Step 15900 | Loss: 0.5171 Acc: 93.12%
Step 16000 | Loss: 0.5160 Acc: 93.70%
Step 16100 | Loss: 0.5463 Acc: 92.25%
Step 16200 | Loss: 0.5302 Acc: 92.51%
Step 16300 | Loss: 0.5606 Acc: 91.38%
Step 16400 | Loss: 0.5002 Acc: 93.56%
Step 16500 | Loss: 0.4952 Acc: 94.83%
Step 16600 | Loss: 0.5606 Acc: 91.37%
