
============================================================
Step 0: Entering Phase 1: Hard only (rating 21+)
Training pool: 281294 puzzles
============================================================

Step 10800 | Loss: 0.7834 Acc: 77.87%
Step 10900 | Loss: 0.7368 Acc: 79.27%
Step 11000 | Loss: 0.7866 Acc: 77.01%
Step 11100 | Loss: 0.7503 Acc: 79.61%
Step 11200 | Loss: 0.7713 Acc: 77.94%
Step 11300 | Loss: 0.7524 Acc: 78.57%
Step 11400 | Loss: 0.7861 Acc: 76.68%
Step 11500 | Loss: 0.7668 Acc: 78.35%
Step 11600 | Loss: 0.7742 Acc: 77.73%
Step 11700 | Loss: 0.7561 Acc: 78.74%
Step 11800 | Loss: 0.7696 Acc: 78.08%
Step 11900 | Loss: 0.7504 Acc: 79.26%
Step 12000 | Loss: 0.7525 Acc: 79.12%
Step 12100 | Loss: 0.7214 Acc: 80.30%
Step 12200 | Loss: 0.7484 Acc: 79.20%
Step 12300 | Loss: 0.7543 Acc: 79.15%
Step 12400 | Loss: 0.7415 Acc: 79.38%
Step 12500 | Loss: 0.7506 Acc: 79.39%
Step 12600 | Loss: 0.7361 Acc: 78.68%
Step 12700 | Loss: 0.7446 Acc: 79.74%
Step 12800 | Loss: 0.7292 Acc: 80.24%
Step 12900 | Loss: 0.6942 Acc: 83.42%
Step 13000 | Loss: 0.7695 Acc: 78.15%
Step 13100 | Loss: 0.7231 Acc: 81.36%
Step 13200 | Loss: 0.7385 Acc: 80.33%
Step 13300 | Loss: 0.7440 Acc: 80.29%
Step 13400 | Loss: 0.7226 Acc: 80.91%
Step 13500 | Loss: 0.7571 Acc: 78.42%
Step 13600 | Loss: 0.7349 Acc: 80.82%
Step 13700 | Loss: 0.7432 Acc: 79.85%
Step 13800 | Loss: 0.7544 Acc: 78.74%
Step 13900 | Loss: 0.7239 Acc: 81.03%

============================================================
Step 14000: Entering Phase 2: Medium+ (rating 6+)
Training pool: 1641360 puzzles
============================================================

Step 14000 | Loss: 0.8205 Acc: 73.97%
Step 14100 | Loss: 0.8053 Acc: 72.47%
Step 14200 | Loss: 0.8089 Acc: 73.03%
Step 14300 | Loss: 0.8160 Acc: 72.64%
Step 14400 | Loss: 0.7875 Acc: 74.05%
Step 14500 | Loss: 0.7962 Acc: 74.97%
Step 14600 | Loss: 0.7829 Acc: 74.44%
Step 14700 | Loss: 0.7973 Acc: 73.80%
Step 14800 | Loss: 0.8223 Acc: 72.24%
Step 14900 | Loss: 0.8190 Acc: 72.42%
Step 15000 | Loss: 0.8114 Acc: 72.78% | 0: 4545/5000 | 1-2: 3110/5000 | 3-10: 2116/5000 | 11-50: 2457/5000 | 51+: 2895/5000 | Total: 15123/25000 (60.5%)
Step 15100 | Loss: 0.7891 Acc: 73.69%
Step 15200 | Loss: 0.8165 Acc: 72.52%
Step 15300 | Loss: 0.7787 Acc: 75.26%
Step 15400 | Loss: 0.7610 Acc: 75.96%
Step 15500 | Loss: 0.7665 Acc: 74.51%
Step 15600 | Loss: 0.8052 Acc: 73.42%
Step 15700 | Loss: 0.7977 Acc: 74.23%
Step 15800 | Loss: 0.7893 Acc: 74.12%
Step 15900 | Loss: 0.7788 Acc: 74.65%
Step 16000 | Loss: 0.7749 Acc: 74.17%
Step 16100 | Loss: 0.7941 Acc: 73.47%
Step 16200 | Loss: 0.8126 Acc: 73.29%
Step 16300 | Loss: 0.7911 Acc: 73.96%
Step 16400 | Loss: 0.7443 Acc: 76.29%
Step 16500 | Loss: 0.7770 Acc: 74.99%
Step 16600 | Loss: 0.7357 Acc: 77.88%
Step 16700 | Loss: 0.7834 Acc: 74.40%
Step 16800 | Loss: 0.7779 Acc: 75.55%
Step 16900 | Loss: 0.8293 Acc: 71.64%
Step 17000 | Loss: 0.8308 Acc: 71.74%
Step 17100 | Loss: 0.7719 Acc: 74.92%
Step 17200 | Loss: 0.7964 Acc: 74.32%
Step 17300 | Loss: 0.7963 Acc: 73.78%
Step 17400 | Loss: 0.7866 Acc: 75.05%
Step 17500 | Loss: 0.7845 Acc: 73.86%
Step 17600 | Loss: 0.7717 Acc: 75.28%
Step 17700 | Loss: 0.7873 Acc: 74.00%
Step 17800 | Loss: 0.7839 Acc: 73.80%
Step 17900 | Loss: 0.7567 Acc: 76.32%
Step 18000 | Loss: 0.7809 Acc: 74.36%
Step 18100 | Loss: 0.7735 Acc: 75.18%
Step 18200 | Loss: 0.7646 Acc: 75.76%
Step 18300 | Loss: 0.8051 Acc: 73.10%
Step 18400 | Loss: 0.7717 Acc: 75.40%
Step 18500 | Loss: 0.7656 Acc: 75.41%
Step 18600 | Loss: 0.7648 Acc: 75.77%
Step 18700 | Loss: 0.7635 Acc: 75.52%
Step 18800 | Loss: 0.7497 Acc: 76.44%
Step 18900 | Loss: 0.7558 Acc: 76.42%
Step 19000 | Loss: 0.7818 Acc: 74.47%
Step 19100 | Loss: 0.7414 Acc: 76.22%
Step 19200 | Loss: 0.7738 Acc: 74.44%
Step 19300 | Loss: 0.7603 Acc: 75.85%
Step 19400 | Loss: 0.7716 Acc: 75.40%
Step 19500 | Loss: 0.7529 Acc: 76.19%
Step 19600 | Loss: 0.7782 Acc: 74.47%
Step 19700 | Loss: 0.8067 Acc: 73.24%
Step 19800 | Loss: 0.7829 Acc: 74.26%
Step 19900 | Loss: 0.7846 Acc: 74.24%
Step 20000 | Loss: 0.7809 Acc: 74.59% | 0: 4546/5000 | 1-2: 3168/5000 | 3-10: 2250/5000 | 11-50: 2591/5000 | 51+: 3018/5000 | Total: 15573/25000 (62.3%)
Step 20100 | Loss: 0.7587 Acc: 76.21%
Step 20200 | Loss: 0.7694 Acc: 74.88%
Step 20300 | Loss: 0.7908 Acc: 73.97%
Step 20400 | Loss: 0.7915 Acc: 74.11%
Step 20500 | Loss: 0.7951 Acc: 73.62%
Step 20600 | Loss: 0.7868 Acc: 74.18%
Step 20700 | Loss: 0.8026 Acc: 73.19%
Step 20800 | Loss: 0.7791 Acc: 74.80%
Step 20900 | Loss: 0.7750 Acc: 74.70%
Step 21000 | Loss: 0.8113 Acc: 73.29%
Step 21100 | Loss: 0.7660 Acc: 76.23%
Step 21200 | Loss: 0.7769 Acc: 74.06%
Step 21300 | Loss: 0.7356 Acc: 77.11%
Step 21400 | Loss: 0.7393 Acc: 77.24%
Step 21500 | Loss: 0.7389 Acc: 77.41%
Step 21600 | Loss: 0.7907 Acc: 73.16%
Step 21700 | Loss: 0.7587 Acc: 76.27%
