
============================================================
Step 0: Entering Phase 1: Hard only (3.0+)
Training pool: 321326 puzzles
============================================================

Step 10900 | Loss: 0.8124 Acc: 71.48%
Step 11000 | Loss: 0.8036 Acc: 72.97%
Step 11100 | Loss: 0.8084 Acc: 72.22%
Step 11200 | Loss: 0.8054 Acc: 72.92%
Step 11300 | Loss: 0.7762 Acc: 75.03%
Step 11400 | Loss: 0.7904 Acc: 74.31%
Step 11500 | Loss: 0.8481 Acc: 70.28%
Step 11600 | Loss: 0.7704 Acc: 76.76%
Step 11700 | Loss: 0.7710 Acc: 75.17%
Step 11800 | Loss: 0.7963 Acc: 74.24%
Step 11900 | Loss: 0.7839 Acc: 75.43%
Step 12000 | Loss: 0.7850 Acc: 74.25%
Step 12100 | Loss: 0.8021 Acc: 73.59%
Step 12200 | Loss: 0.7882 Acc: 74.38%
Step 12300 | Loss: 0.7761 Acc: 74.52%
Step 12400 | Loss: 0.7713 Acc: 77.18%
Step 12500 | Loss: 0.8053 Acc: 74.51%
Step 12600 | Loss: 0.8091 Acc: 72.45%
Step 12700 | Loss: 0.7670 Acc: 76.99%
Step 12800 | Loss: 0.7978 Acc: 73.60%
Step 12900 | Loss: 0.7658 Acc: 77.35%
Step 13000 | Loss: 0.7729 Acc: 75.16%
Step 13100 | Loss: 0.7773 Acc: 75.50%
Step 13200 | Loss: 0.7634 Acc: 76.50%
Step 13300 | Loss: 0.7929 Acc: 74.50%
Step 13400 | Loss: 0.7916 Acc: 74.24%
Step 13500 | Loss: 0.7600 Acc: 77.62%
Step 13600 | Loss: 0.7582 Acc: 76.01%
Step 13700 | Loss: 0.7950 Acc: 75.24%
Step 13800 | Loss: 0.7923 Acc: 73.84%
Step 13900 | Loss: 0.7545 Acc: 76.27%
Step 14000 | Loss: 0.7712 Acc: 76.72%
Step 14100 | Loss: 0.7781 Acc: 75.34%
Step 14200 | Loss: 0.7435 Acc: 78.68%
Step 14300 | Loss: 0.7888 Acc: 74.69%
Step 14400 | Loss: 0.7780 Acc: 75.83%
Step 14500 | Loss: 0.7645 Acc: 77.56%
Step 14600 | Loss: 0.7600 Acc: 76.67%
Step 14700 | Loss: 0.7599 Acc: 76.72%
Step 14800 | Loss: 0.7921 Acc: 74.44%
Step 14900 | Loss: 0.7682 Acc: 77.41%
Step 15000 | Loss: 0.7741 Acc: 76.37% | 0.0: 465/500 | 1.x: 368/500 | 2.x: 299/500 | 3.x: 241/500 | 4.x+: 182/500 | Total: 1555/2500
Step 15100 | Loss: 0.7623 Acc: 76.75%
Step 15200 | Loss: 0.7281 Acc: 79.95%
Step 15300 | Loss: 0.7752 Acc: 76.88%
Step 15400 | Loss: 0.7547 Acc: 77.57%
Step 15500 | Loss: 0.7321 Acc: 79.20%
Step 15600 | Loss: 0.7423 Acc: 78.67%
Step 15700 | Loss: 0.7509 Acc: 77.59%
Step 15800 | Loss: 0.7794 Acc: 75.67%
Step 15900 | Loss: 0.7541 Acc: 77.88%
Step 16000 | Loss: 0.7366 Acc: 78.27%
Step 16100 | Loss: 0.7559 Acc: 78.85%
Step 16200 | Loss: 0.7288 Acc: 79.30%
Step 16300 | Loss: 0.7454 Acc: 79.26%
Step 16400 | Loss: 0.7607 Acc: 77.84%
Step 16500 | Loss: 0.7397 Acc: 79.02%
Step 16600 | Loss: 0.7451 Acc: 78.53%
Step 16700 | Loss: 0.8421 Acc: 71.30%
Step 16800 | Loss: 0.7857 Acc: 76.09%
Step 16900 | Loss: 0.7764 Acc: 78.08%
Step 17000 | Loss: 0.7447 Acc: 76.85%
Step 17100 | Loss: 0.7515 Acc: 78.13%
Step 17200 | Loss: 0.7813 Acc: 77.24%
Step 17300 | Loss: 0.7322 Acc: 80.02%
Step 17400 | Loss: 0.7543 Acc: 77.81%
Step 17500 | Loss: 0.7613 Acc: 77.53%
Step 17600 | Loss: 0.7567 Acc: 77.11%
Step 17700 | Loss: 0.7169 Acc: 80.09%
Step 17800 | Loss: 0.7379 Acc: 79.26%
Step 17900 | Loss: 0.7059 Acc: 81.32%
Step 18000 | Loss: 0.7180 Acc: 80.86%
Step 18100 | Loss: 0.7279 Acc: 79.93%
Step 18200 | Loss: 0.7197 Acc: 79.57%
Step 18300 | Loss: 0.7558 Acc: 78.88%
Step 18400 | Loss: 0.7259 Acc: 79.96%
Step 18500 | Loss: 0.7623 Acc: 76.58%
Step 18600 | Loss: 0.7476 Acc: 78.66%
Step 18700 | Loss: 0.7209 Acc: 80.52%
Step 18800 | Loss: 0.7341 Acc: 79.99%
Step 18900 | Loss: 0.7632 Acc: 77.82%
Step 19000 | Loss: 0.7489 Acc: 78.54%
Step 19100 | Loss: 0.7303 Acc: 80.59%
Step 19200 | Loss: 0.7846 Acc: 77.18%
Step 19300 | Loss: 0.7819 Acc: 76.68%
Step 19400 | Loss: 0.7195 Acc: 80.29%
Step 19500 | Loss: 0.7563 Acc: 78.27%
Step 19600 | Loss: 0.7279 Acc: 79.42%
Step 19700 | Loss: 0.7922 Acc: 76.52%
Step 19800 | Loss: 0.7287 Acc: 79.81%
Step 19900 | Loss: 0.8021 Acc: 75.35%

============================================================
Step 20000: Entering Phase 2: Medium-Hard+ (2.0+)
Training pool: 892000 puzzles
============================================================

Step 20000 | Loss: 0.6790 Acc: 81.69% | 0.0: 485/500 | 1.x: 421/500 | 2.x: 351/500 | 3.x: 294/500 | 4.x+: 261/500 | Total: 1812/2500
Step 20100 | Loss: 0.6895 Acc: 81.60%
Step 20200 | Loss: 0.6986 Acc: 81.87%
Step 20300 | Loss: 0.6495 Acc: 84.28%
Step 20400 | Loss: 0.7256 Acc: 78.83%
Step 20500 | Loss: 0.7181 Acc: 79.26%
Step 20600 | Loss: 0.6899 Acc: 81.99%
Step 20700 | Loss: 0.7103 Acc: 80.94%
Step 20800 | Loss: 0.7248 Acc: 79.86%
Step 20900 | Loss: 0.6870 Acc: 82.15%
Step 21000 | Loss: 0.6550 Acc: 83.27%
Step 21100 | Loss: 0.7702 Acc: 77.44%
Step 21200 | Loss: 0.7181 Acc: 80.69%
Step 21300 | Loss: 0.6630 Acc: 82.89%
Step 21400 | Loss: 0.6400 Acc: 85.12%
Step 21500 | Loss: 0.6688 Acc: 83.27%
Step 21600 | Loss: 0.6829 Acc: 82.60%
Step 21700 | Loss: 0.7209 Acc: 80.34%
Step 21800 | Loss: 0.7262 Acc: 79.94%
Step 21900 | Loss: 0.7220 Acc: 80.54%
Step 22000 | Loss: 0.6894 Acc: 81.55%
Step 22100 | Loss: 0.6637 Acc: 82.48%
Step 22200 | Loss: 0.7694 Acc: 78.84%
Step 22300 | Loss: 0.6792 Acc: 82.10%
Step 22400 | Loss: 0.7035 Acc: 80.73%
Step 22500 | Loss: 0.6407 Acc: 84.74%
Step 22600 | Loss: 0.7047 Acc: 80.04%
Step 22700 | Loss: 0.6633 Acc: 83.31%
Step 22800 | Loss: 0.6666 Acc: 83.62%
Step 22900 | Loss: 0.6513 Acc: 83.58%
Step 23000 | Loss: 0.6598 Acc: 83.64%
Step 23100 | Loss: 0.7109 Acc: 80.28%
