
============================================================
Step 0: Entering Phase 1: Hard only (3.0+)
Training pool: 321326 puzzles
============================================================

Step 10900 | Loss: 0.8669 Acc: 67.97%
Step 11000 | Loss: 0.8526 Acc: 67.85%
Step 11100 | Loss: 0.8557 Acc: 68.50%
Step 11200 | Loss: 0.8672 Acc: 66.82%
Step 11300 | Loss: 0.8279 Acc: 69.80%
Step 11400 | Loss: 0.8633 Acc: 68.63%
Step 11500 | Loss: 0.8370 Acc: 68.63%
Step 11600 | Loss: 0.8619 Acc: 69.09%
Step 11700 | Loss: 0.8615 Acc: 67.43%
Step 11800 | Loss: 0.8581 Acc: 68.43%
Step 11900 | Loss: 0.8372 Acc: 71.84%
Step 12000 | Loss: 0.8501 Acc: 69.22%
Step 12100 | Loss: 0.8587 Acc: 69.41%
Step 12200 | Loss: 0.8621 Acc: 68.91%
Step 12300 | Loss: 0.8562 Acc: 67.94%
Step 12400 | Loss: 0.8389 Acc: 70.45%
Step 12500 | Loss: 0.8926 Acc: 68.01%
Step 12600 | Loss: 0.8331 Acc: 71.31%
Step 12700 | Loss: 0.8779 Acc: 68.34%
Step 12800 | Loss: 0.8641 Acc: 68.07%
Step 12900 | Loss: 0.8334 Acc: 69.44%
Step 13000 | Loss: 0.8445 Acc: 68.33%
Step 13100 | Loss: 0.8694 Acc: 68.17%
Step 13200 | Loss: 0.8358 Acc: 69.61%
Step 13300 | Loss: 0.8513 Acc: 70.02%
Step 13400 | Loss: 0.8302 Acc: 70.90%
Step 13500 | Loss: 0.8498 Acc: 68.40%
Step 13600 | Loss: 0.8548 Acc: 69.33%
Step 13700 | Loss: 0.9044 Acc: 65.75%
Step 13800 | Loss: 0.8348 Acc: 70.24%
Step 13900 | Loss: 0.8685 Acc: 67.60%
Step 14000 | Loss: 0.8311 Acc: 69.71%
Step 14100 | Loss: 0.8499 Acc: 68.11%
Step 14200 | Loss: 0.8521 Acc: 70.99%
Step 14300 | Loss: 0.8085 Acc: 71.92%
Step 14400 | Loss: 0.8717 Acc: 68.59%
Step 14500 | Loss: 0.8056 Acc: 72.93%
Step 14600 | Loss: 0.8277 Acc: 71.21%
Step 14700 | Loss: 0.8471 Acc: 68.98%
Step 14800 | Loss: 0.8661 Acc: 68.02%
Step 14900 | Loss: 0.8541 Acc: 68.51%
Step 15000 | Loss: 0.8560 Acc: 69.20% | 0.0: 339/500 | 1.x: 211/500 | 2.x: 144/500 | 3.x: 87/500 | 4.x+: 47/500 | Total: 828/2500
Step 15100 | Loss: 0.8443 Acc: 69.63%
Step 15200 | Loss: 0.8338 Acc: 69.15%
Step 15300 | Loss: 0.8362 Acc: 72.00%
Step 15400 | Loss: 0.8332 Acc: 69.68%
Step 15500 | Loss: 0.8560 Acc: 71.38%
Step 15600 | Loss: 0.8444 Acc: 70.57%
Step 15700 | Loss: 0.8389 Acc: 70.96%
Step 15800 | Loss: 0.8461 Acc: 68.45%
Step 15900 | Loss: 0.8775 Acc: 69.53%
Step 16000 | Loss: 0.8731 Acc: 68.67%
Step 16100 | Loss: 0.8557 Acc: 67.97%
Step 16200 | Loss: 0.8279 Acc: 70.17%
Step 16300 | Loss: 0.8399 Acc: 69.06%
Step 16400 | Loss: 0.8562 Acc: 69.19%
Step 16500 | Loss: 0.8339 Acc: 71.87%
Step 16600 | Loss: 0.8247 Acc: 71.46%
Step 16700 | Loss: 0.8538 Acc: 70.73%
Step 16800 | Loss: 0.8327 Acc: 69.82%
Step 16900 | Loss: 0.8170 Acc: 71.47%
Step 17000 | Loss: 0.8251 Acc: 72.51%
Step 17100 | Loss: 0.8307 Acc: 72.08%
Step 17200 | Loss: 0.8329 Acc: 70.15%
Step 17300 | Loss: 0.8459 Acc: 68.63%
Step 17400 | Loss: 0.8531 Acc: 69.28%
Step 17500 | Loss: 0.8168 Acc: 71.83%
Step 17600 | Loss: 0.8628 Acc: 69.06%
Step 17700 | Loss: 0.8092 Acc: 72.16%
Step 17800 | Loss: 0.8317 Acc: 71.28%
Step 17900 | Loss: 0.8214 Acc: 71.98%
Step 18000 | Loss: 0.8027 Acc: 72.56%
Step 18100 | Loss: 0.8444 Acc: 69.18%
Step 18200 | Loss: 0.7966 Acc: 72.41%
Step 18300 | Loss: 0.8146 Acc: 71.07%
Step 18400 | Loss: 0.8431 Acc: 71.33%
Step 18500 | Loss: 0.8338 Acc: 71.55%
Step 18600 | Loss: 0.8343 Acc: 70.49%
Step 18700 | Loss: 0.8061 Acc: 71.33%
Step 18800 | Loss: 0.8328 Acc: 70.19%
Step 18900 | Loss: 0.8695 Acc: 70.36%
Step 19000 | Loss: 0.8484 Acc: 70.41%
Step 19100 | Loss: 0.7957 Acc: 73.43%
Step 19200 | Loss: 0.8386 Acc: 69.61%
Step 19300 | Loss: 0.8381 Acc: 69.94%
Step 19400 | Loss: 0.7949 Acc: 73.84%
Step 19500 | Loss: 0.8327 Acc: 71.57%
Step 19600 | Loss: 0.8344 Acc: 70.07%
Step 19700 | Loss: 0.8248 Acc: 72.07%
Step 19800 | Loss: 0.8223 Acc: 72.00%
Step 19900 | Loss: 0.8175 Acc: 71.92%

============================================================
Step 20000: Entering Phase 2: Medium-Hard+ (2.0+)
Training pool: 892000 puzzles
============================================================

Step 20000 | Loss: 0.7791 Acc: 74.69% | 0.0: 408/500 | 1.x: 315/500 | 2.x: 222/500 | 3.x: 175/500 | 4.x+: 142/500 | Total: 1262/2500
Step 20100 | Loss: 0.7907 Acc: 73.18%
Step 20200 | Loss: 0.7419 Acc: 76.73%
Step 20300 | Loss: 0.7826 Acc: 75.31%
Step 20400 | Loss: 0.7927 Acc: 72.14%
Step 20500 | Loss: 0.8285 Acc: 73.09%
Step 20600 | Loss: 0.7677 Acc: 73.89%
Step 20700 | Loss: 0.8047 Acc: 71.04%
Step 20800 | Loss: 0.7920 Acc: 74.24%
Step 20900 | Loss: 0.8010 Acc: 73.28%
Step 21000 | Loss: 0.7650 Acc: 74.06%
Step 21100 | Loss: 0.7656 Acc: 75.14%
Step 21200 | Loss: 0.7569 Acc: 76.42%
Step 21300 | Loss: 0.7893 Acc: 75.21%
Step 21400 | Loss: 0.7877 Acc: 72.42%
Step 21500 | Loss: 0.7751 Acc: 74.21%
Step 21600 | Loss: 0.8084 Acc: 73.18%
Step 21700 | Loss: 0.8025 Acc: 72.31%
Step 21800 | Loss: 0.7860 Acc: 74.33%
Step 21900 | Loss: 0.7577 Acc: 74.75%
Step 22000 | Loss: 0.7787 Acc: 74.52%
Step 22100 | Loss: 0.7826 Acc: 76.30%
Step 22200 | Loss: 0.7459 Acc: 77.45%
Step 22300 | Loss: 0.7458 Acc: 77.06%
Step 22400 | Loss: 0.7732 Acc: 75.09%
Step 22500 | Loss: 0.7615 Acc: 76.18%
Step 22600 | Loss: 0.7745 Acc: 75.67%
Step 22700 | Loss: 0.8282 Acc: 70.05%
Step 22800 | Loss: 0.7918 Acc: 72.39%
Step 22900 | Loss: 0.7552 Acc: 76.25%
Step 23000 | Loss: 0.7643 Acc: 76.85%
Step 23100 | Loss: 0.7308 Acc: 78.38%
Step 23200 | Loss: 0.7936 Acc: 72.13%
Step 23300 | Loss: 0.7612 Acc: 76.06%
Step 23400 | Loss: 0.7925 Acc: 75.99%
Step 23500 | Loss: 0.7966 Acc: 73.18%
Step 23600 | Loss: 0.7705 Acc: 75.49%
Step 23700 | Loss: 0.7554 Acc: 75.86%
Step 23800 | Loss: 0.7823 Acc: 73.62%
Step 23900 | Loss: 0.7511 Acc: 76.24%
Step 24000 | Loss: 0.7891 Acc: 72.33%
Step 24100 | Loss: 0.7721 Acc: 74.03%
Step 24200 | Loss: 0.8079 Acc: 73.82%
Step 24300 | Loss: 0.7271 Acc: 78.11%
Step 24400 | Loss: 0.7805 Acc: 74.36%
Step 24500 | Loss: 0.7595 Acc: 74.94%
Step 24600 | Loss: 0.8135 Acc: 73.23%
Step 24700 | Loss: 0.8043 Acc: 73.14%
Step 24800 | Loss: 0.7690 Acc: 75.28%
Step 24900 | Loss: 0.7949 Acc: 72.95%
