Step 11100 | Loss: 0.6295 Acc: 86.55%
Step 11200 | Loss: 0.6271 Acc: 86.90%
Step 11300 | Loss: 0.6745 Acc: 83.35%
Step 11400 | Loss: 0.6493 Acc: 83.93%
Step 11500 | Loss: 0.6014 Acc: 87.23%
Step 11600 | Loss: 0.6475 Acc: 85.60%
Step 11700 | Loss: 0.6590 Acc: 84.28%
Step 11800 | Loss: 0.6169 Acc: 86.19%
Step 11900 | Loss: 0.5934 Acc: 88.08%
Step 12000 | Loss: 0.6180 Acc: 87.24%
Step 12100 | Loss: 0.5869 Acc: 88.04%
Step 12200 | Loss: 0.5802 Acc: 88.56%
Step 12300 | Loss: 0.6117 Acc: 87.00%
Step 12400 | Loss: 0.6252 Acc: 85.34%
Step 12500 | Loss: 0.6030 Acc: 86.84%
Step 12600 | Loss: 0.6288 Acc: 86.92%
Step 12700 | Loss: 0.6142 Acc: 86.93%
Step 12800 | Loss: 0.6183 Acc: 86.79%
Step 12900 | Loss: 0.5820 Acc: 88.57%
Step 13000 | Loss: 0.6273 Acc: 87.40%
Step 13100 | Loss: 0.6377 Acc: 85.84%
Step 13200 | Loss: 0.5837 Acc: 88.28%
Step 13300 | Loss: 0.6145 Acc: 86.53%
Step 13400 | Loss: 0.6088 Acc: 86.90%
Step 13500 | Loss: 0.5960 Acc: 87.61%
Step 13600 | Loss: 0.6172 Acc: 86.19%
Step 13700 | Loss: 0.6277 Acc: 85.33%
Step 13800 | Loss: 0.6682 Acc: 84.47%
Step 13900 | Loss: 0.6112 Acc: 87.18%
Step 14000 | Loss: 0.5978 Acc: 88.07%
Step 14100 | Loss: 0.6217 Acc: 86.73%
Step 14200 | Loss: 0.5833 Acc: 88.30%
Step 14300 | Loss: 0.6002 Acc: 87.70%
Step 14400 | Loss: 0.6000 Acc: 87.59%
Step 14500 | Loss: 0.5827 Acc: 88.56%
Step 14600 | Loss: 0.6124 Acc: 87.10%
Step 14700 | Loss: 0.5786 Acc: 88.95%
Step 14800 | Loss: 0.6515 Acc: 85.54%
Step 14900 | Loss: 0.5906 Acc: 88.38%
Step 15000 | Loss: 0.5770 Acc: 88.83% | 0.0: 479/500 | 1.x: 381/500 | 2.x: 294/500 | 3.x: 215/500 | 4.x+: 165/500 | Total: 1534/2500
Step 15100 | Loss: 0.6278 Acc: 85.99%
Step 15200 | Loss: 0.5720 Acc: 89.20%
Step 15300 | Loss: 0.5677 Acc: 88.60%
Step 15400 | Loss: 0.5781 Acc: 88.57%
Step 15500 | Loss: 0.5876 Acc: 88.17%
Step 15600 | Loss: 0.5547 Acc: 89.41%
Step 15700 | Loss: 0.5849 Acc: 88.32%
Step 15800 | Loss: 0.5969 Acc: 87.64%
Step 15900 | Loss: 0.5918 Acc: 87.88%
Step 16000 | Loss: 0.6425 Acc: 85.99%
Step 16100 | Loss: 0.6088 Acc: 87.56%
Step 16200 | Loss: 0.6189 Acc: 86.32%
Step 16300 | Loss: 0.5748 Acc: 89.32%
Step 16400 | Loss: 0.6137 Acc: 86.54%
Step 16500 | Loss: 0.5933 Acc: 87.84%
Step 16600 | Loss: 0.6056 Acc: 87.57%
Step 16700 | Loss: 0.5661 Acc: 89.23%
Step 16800 | Loss: 0.5891 Acc: 88.13%
Step 16900 | Loss: 0.5601 Acc: 89.04%
Step 17000 | Loss: 0.6301 Acc: 86.86%
Step 17100 | Loss: 0.5815 Acc: 88.71%
Step 17200 | Loss: 0.5949 Acc: 87.02%
Step 17300 | Loss: 0.6355 Acc: 86.15%
Step 17400 | Loss: 0.5834 Acc: 88.59%
Step 17500 | Loss: 0.6026 Acc: 87.48%
Step 17600 | Loss: 0.5732 Acc: 89.24%
Step 17700 | Loss: 0.5833 Acc: 88.05%
Step 17800 | Loss: 0.6044 Acc: 87.01%
Step 17900 | Loss: 0.5907 Acc: 87.28%
Step 18000 | Loss: 0.5710 Acc: 88.55%
Step 18100 | Loss: 0.5656 Acc: 88.85%
Step 18200 | Loss: 0.6004 Acc: 87.41%
Step 18300 | Loss: 0.6111 Acc: 86.92%
Step 18400 | Loss: 0.5789 Acc: 88.66%
Step 18500 | Loss: 0.5765 Acc: 88.91%
Step 18600 | Loss: 0.5952 Acc: 87.93%
Step 18700 | Loss: 0.5884 Acc: 88.30%
Step 18800 | Loss: 0.5480 Acc: 90.28%
Step 18900 | Loss: 0.6266 Acc: 86.60%
Step 19000 | Loss: 0.5604 Acc: 89.68%
Step 19100 | Loss: 0.6078 Acc: 87.50%
Step 19200 | Loss: 0.5865 Acc: 88.39%
Step 19300 | Loss: 0.5817 Acc: 89.29%
Step 19400 | Loss: 0.5737 Acc: 88.81%
Step 19500 | Loss: 0.5925 Acc: 88.13%
Step 19600 | Loss: 0.6066 Acc: 88.06%
Step 19700 | Loss: 0.6008 Acc: 88.38%
Step 19800 | Loss: 0.5725 Acc: 89.09%
Step 19900 | Loss: 0.5763 Acc: 88.45%
Step 20000 | Loss: 0.5799 Acc: 88.25% | 0.0: 486/500 | 1.x: 383/500 | 2.x: 286/500 | 3.x: 218/500 | 4.x+: 147/500 | Total: 1520/2500
Step 20100 | Loss: 0.5571 Acc: 89.26%
Step 20200 | Loss: 0.5646 Acc: 89.32%
Step 20300 | Loss: 0.5478 Acc: 89.59%
Step 20400 | Loss: 0.5783 Acc: 88.94%
Step 20500 | Loss: 0.5634 Acc: 89.56%
Step 20600 | Loss: 0.5756 Acc: 88.68%
Step 20700 | Loss: 0.5614 Acc: 89.19%
Step 20800 | Loss: 0.5867 Acc: 88.03%
Step 20900 | Loss: 0.5612 Acc: 89.28%
Step 21000 | Loss: 0.5709 Acc: 88.52%
Step 21100 | Loss: 0.5750 Acc: 88.99%
Step 21200 | Loss: 0.5549 Acc: 89.89%
Step 21300 | Loss: 0.6074 Acc: 87.26%
Step 21400 | Loss: 0.5731 Acc: 88.87%
Step 21500 | Loss: 0.5508 Acc: 90.05%
Step 21600 | Loss: 0.5558 Acc: 89.66%
Step 21700 | Loss: 0.5400 Acc: 90.34%
Step 21800 | Loss: 0.5403 Acc: 91.07%
Step 21900 | Loss: 0.5302 Acc: 90.27%
Step 22000 | Loss: 0.5902 Acc: 88.10%
Step 22100 | Loss: 0.5616 Acc: 89.53%
Step 22200 | Loss: 0.5362 Acc: 89.89%
Step 22300 | Loss: 0.5623 Acc: 88.35%
Step 22400 | Loss: 0.5448 Acc: 90.24%
Step 22500 | Loss: 0.5689 Acc: 88.76%
Step 22600 | Loss: 0.5256 Acc: 91.05%
Step 22700 | Loss: 0.5590 Acc: 89.76%
Step 22800 | Loss: 0.6636 Acc: 84.29%
Step 22900 | Loss: 0.5994 Acc: 87.55%
Step 23000 | Loss: 0.5381 Acc: 90.68%
Step 23100 | Loss: 0.5752 Acc: 89.04%
Step 23200 | Loss: 0.5836 Acc: 88.60%
Step 23300 | Loss: 0.5641 Acc: 88.64%
Step 23400 | Loss: 0.5522 Acc: 89.70%
Step 23500 | Loss: 0.5570 Acc: 89.54%
Step 23600 | Loss: 0.6534 Acc: 85.15%
Step 23700 | Loss: 0.5729 Acc: 88.39%
Step 23800 | Loss: 0.5735 Acc: 88.70%
Step 23900 | Loss: 0.5676 Acc: 88.24%
Step 24000 | Loss: 0.5356 Acc: 90.23%
Step 24100 | Loss: 0.5535 Acc: 89.33%
Step 24200 | Loss: 0.5352 Acc: 90.21%
Step 24300 | Loss: 0.5490 Acc: 89.77%
Step 24400 | Loss: 0.5407 Acc: 89.74%
Step 24500 | Loss: 0.5451 Acc: 90.02%
Step 24600 | Loss: 0.5624 Acc: 88.93%
Step 24700 | Loss: 0.5296 Acc: 90.32%
Step 24800 | Loss: 0.5360 Acc: 90.16%
Step 24900 | Loss: 0.5490 Acc: 89.48%
Step 25000 | Loss: 0.5459 Acc: 89.88% | 0.0: 481/500 | 1.x: 392/500 | 2.x: 335/500 | 3.x: 265/500 | 4.x+: 201/500 | Total: 1674/2500
Step 25100 | Loss: 0.5300 Acc: 90.87%
Step 25200 | Loss: 0.5278 Acc: 91.28%
Step 25300 | Loss: 0.5850 Acc: 88.26%
Step 25400 | Loss: 0.5543 Acc: 89.30%
Step 25500 | Loss: 0.5455 Acc: 89.87%
Step 25600 | Loss: 0.5651 Acc: 89.12%
Step 25700 | Loss: 0.5270 Acc: 90.44%
Step 25800 | Loss: 0.5417 Acc: 89.69%
Step 25900 | Loss: 0.5601 Acc: 89.16%
Step 26000 | Loss: 0.5253 Acc: 90.88%
Step 26100 | Loss: 0.5644 Acc: 88.82%
Step 26200 | Loss: 0.5484 Acc: 89.69%
Step 26300 | Loss: 0.5233 Acc: 90.67%
Step 26400 | Loss: 0.5111 Acc: 91.56%
Step 26500 | Loss: 0.5435 Acc: 90.12%
Step 26600 | Loss: 0.5455 Acc: 90.01%
Step 26700 | Loss: 0.5436 Acc: 89.42%
Step 26800 | Loss: 0.5424 Acc: 89.92%
Step 26900 | Loss: 0.5371 Acc: 90.46%
Step 27000 | Loss: 0.5350 Acc: 90.48%
Step 27100 | Loss: 0.5547 Acc: 89.24%
Step 27200 | Loss: 0.5578 Acc: 89.01%
Step 27300 | Loss: 0.6113 Acc: 87.27%
Step 27400 | Loss: 0.5219 Acc: 91.48%
Step 27500 | Loss: 0.5795 Acc: 88.76%
Step 27600 | Loss: 0.5596 Acc: 89.07%
Step 27700 | Loss: 0.5318 Acc: 90.21%
Step 27800 | Loss: 0.5171 Acc: 91.14%
Step 27900 | Loss: 0.5302 Acc: 90.20%
Step 28000 | Loss: 0.5364 Acc: 89.66%
Step 28100 | Loss: 0.5760 Acc: 89.19%
Step 28200 | Loss: 0.5700 Acc: 88.79%
Step 28300 | Loss: 0.5647 Acc: 89.44%
Step 28400 | Loss: 0.5155 Acc: 91.28%
Step 28500 | Loss: 0.5540 Acc: 89.41%
Step 28600 | Loss: 0.5541 Acc: 89.78%
Step 28700 | Loss: 0.5522 Acc: 89.47%
Step 28800 | Loss: 0.5444 Acc: 89.27%
Step 28900 | Loss: 0.5339 Acc: 90.70%
Step 29000 | Loss: 0.5319 Acc: 90.55%
Step 29100 | Loss: 0.5099 Acc: 91.25%
Step 29200 | Loss: 0.5235 Acc: 91.07%
Step 29300 | Loss: 0.5473 Acc: 89.92%
Step 29400 | Loss: 0.5523 Acc: 89.77%
Step 29500 | Loss: 0.5508 Acc: 89.43%
Step 29600 | Loss: 0.5540 Acc: 88.96%
Step 29700 | Loss: 0.5608 Acc: 88.79%
Step 29800 | Loss: 0.5689 Acc: 89.04%
Step 29900 | Loss: 0.5196 Acc: 90.48%
Step 30000 | Loss: 0.5019 Acc: 91.56% | 0.0: 482/500 | 1.x: 393/500 | 2.x: 338/500 | 3.x: 266/500 | 4.x+: 223/500 | Total: 1702/2500
Step 30100 | Loss: 0.5649 Acc: 88.95%
Step 30200 | Loss: 0.5248 Acc: 90.69%
Step 30300 | Loss: 0.6009 Acc: 86.96%
Step 30400 | Loss: 0.5215 Acc: 90.79%
Step 30500 | Loss: 0.5544 Acc: 88.82%
Step 30600 | Loss: 0.5410 Acc: 89.39%
Step 30700 | Loss: 0.5738 Acc: 88.64%
Step 30800 | Loss: 0.5384 Acc: 90.26%
Step 30900 | Loss: 0.5448 Acc: 89.38%
Step 31000 | Loss: 0.5817 Acc: 87.92%
Step 31100 | Loss: 0.5748 Acc: 88.88%
Step 31200 | Loss: 0.5630 Acc: 89.27%
Step 31300 | Loss: 0.5388 Acc: 89.96%
Step 31400 | Loss: 0.5206 Acc: 90.47%
Step 31500 | Loss: 0.5300 Acc: 90.41%
Step 31600 | Loss: 0.5522 Acc: 88.91%
Step 31700 | Loss: 0.5569 Acc: 89.54%
Step 31800 | Loss: 0.4947 Acc: 91.55%
Step 31900 | Loss: 0.5413 Acc: 89.89%
Step 32000 | Loss: 0.5071 Acc: 90.82%
Step 32100 | Loss: 0.5380 Acc: 89.67%
Step 32200 | Loss: 0.5338 Acc: 89.97%
Step 32300 | Loss: 0.5425 Acc: 89.42%
Step 32400 | Loss: 0.5248 Acc: 90.03%
Step 32500 | Loss: 0.5481 Acc: 89.46%
Step 32600 | Loss: 0.5061 Acc: 91.39%
Step 32700 | Loss: 0.5083 Acc: 90.58%
Step 32800 | Loss: 0.5631 Acc: 88.44%
Step 32900 | Loss: 0.5409 Acc: 90.34%
Step 33000 | Loss: 0.5401 Acc: 90.61%
Step 33100 | Loss: 0.5341 Acc: 89.98%
Step 33200 | Loss: 0.5038 Acc: 91.40%
Step 33300 | Loss: 0.5074 Acc: 90.59%
Step 33400 | Loss: 0.5804 Acc: 88.27%
Step 33500 | Loss: 0.5064 Acc: 91.59%
Step 33600 | Loss: 0.5258 Acc: 90.13%
Step 33700 | Loss: 0.5310 Acc: 89.76%
Step 33800 | Loss: 0.5170 Acc: 90.25%
Step 33900 | Loss: 0.5292 Acc: 89.94%
Step 34000 | Loss: 0.5131 Acc: 90.60%
Step 34100 | Loss: 0.5261 Acc: 90.16%
Step 34200 | Loss: 0.5305 Acc: 89.79%
Step 34300 | Loss: 0.5235 Acc: 91.36%
Step 34400 | Loss: 0.5369 Acc: 90.73%
Step 34500 | Loss: 0.5247 Acc: 90.97%
Step 34600 | Loss: 0.5148 Acc: 91.47%
Step 34700 | Loss: 0.4964 Acc: 91.74%
Step 34800 | Loss: 0.5119 Acc: 91.43%
Step 34900 | Loss: 0.5300 Acc: 90.25%
Step 35000 | Loss: 0.5408 Acc: 89.51% | 0.0: 489/500 | 1.x: 415/500 | 2.x: 346/500 | 3.x: 273/500 | 4.x+: 220/500 | Total: 1743/2500
Step 35100 | Loss: 0.4951 Acc: 91.29%
Step 35200 | Loss: 0.5207 Acc: 90.54%
Step 35300 | Loss: 0.5299 Acc: 89.76%
Step 35400 | Loss: 0.5084 Acc: 91.15%
Step 35500 | Loss: 0.5643 Acc: 88.94%
Step 35600 | Loss: 0.6657 Acc: 84.59%
Step 35700 | Loss: 0.5521 Acc: 89.41%
Step 35800 | Loss: 0.5400 Acc: 89.91%
Step 35900 | Loss: 0.4981 Acc: 92.00%
Step 36000 | Loss: 0.5304 Acc: 90.37%
Step 36100 | Loss: 0.5577 Acc: 88.85%
Step 36200 | Loss: 0.5467 Acc: 88.72%
Step 36300 | Loss: 0.5256 Acc: 91.17%
Step 36400 | Loss: 0.5052 Acc: 90.78%
Step 36500 | Loss: 0.5339 Acc: 90.04%
Step 36600 | Loss: 0.4944 Acc: 91.84%
Step 36700 | Loss: 0.5740 Acc: 88.69%
Step 36800 | Loss: 0.5312 Acc: 89.78%
Step 36900 | Loss: 0.5535 Acc: 89.36%
Step 37000 | Loss: 0.5358 Acc: 90.60%
Step 37100 | Loss: 0.5051 Acc: 90.30%
Step 37200 | Loss: 0.5300 Acc: 90.07%
Step 37300 | Loss: 0.5186 Acc: 91.06%
Step 37400 | Loss: 0.5187 Acc: 91.11%
Step 37500 | Loss: 0.4941 Acc: 91.43%
Step 37600 | Loss: 0.5602 Acc: 88.49%
Step 37700 | Loss: 0.4979 Acc: 91.96%
Step 37800 | Loss: 0.4783 Acc: 92.37%
Step 37900 | Loss: 0.5126 Acc: 91.17%
Step 38000 | Loss: 0.5232 Acc: 90.56%
Step 38100 | Loss: 0.4940 Acc: 91.54%
Step 38200 | Loss: 0.5236 Acc: 90.21%
Step 38300 | Loss: 0.5197 Acc: 90.19%
Step 38400 | Loss: 0.5012 Acc: 91.51%
Step 38500 | Loss: 0.4980 Acc: 91.85%
Step 38600 | Loss: 0.5259 Acc: 90.48%
Step 38700 | Loss: 0.5223 Acc: 90.30%
Step 38800 | Loss: 0.5416 Acc: 89.61%
Step 38900 | Loss: 0.5340 Acc: 89.79%
Step 39000 | Loss: 0.5057 Acc: 90.86%
Step 39100 | Loss: 0.5456 Acc: 89.00%
Step 39200 | Loss: 0.5216 Acc: 90.49%
Step 39300 | Loss: 0.5441 Acc: 89.18%
Step 39400 | Loss: 0.5108 Acc: 91.17%
Step 39500 | Loss: 0.5135 Acc: 90.79%
Step 39600 | Loss: 0.5589 Acc: 89.20%
Step 39700 | Loss: 0.5117 Acc: 91.11%
Step 39800 | Loss: 0.5250 Acc: 90.29%
Step 39900 | Loss: 0.5089 Acc: 91.09%
Step 40000 | Loss: 0.5254 Acc: 90.79% | 0.0: 491/500 | 1.x: 405/500 | 2.x: 338/500 | 3.x: 255/500 | 4.x+: 201/500 | Total: 1690/2500
Step 40100 | Loss: 0.5234 Acc: 90.68%
Step 40200 | Loss: 0.5845 Acc: 87.88%
Step 40300 | Loss: 0.5161 Acc: 90.43%
Step 40400 | Loss: 0.5176 Acc: 90.27%
Step 40500 | Loss: 0.4973 Acc: 91.09%
Step 40600 | Loss: 0.4708 Acc: 92.17%
Step 40700 | Loss: 0.5072 Acc: 91.20%
Step 40800 | Loss: 0.5216 Acc: 90.43%
Step 40900 | Loss: 0.5924 Acc: 87.61%
Step 41000 | Loss: 0.5050 Acc: 90.72%
Step 41100 | Loss: 0.4968 Acc: 91.32%
Step 41200 | Loss: 0.4988 Acc: 91.30%
Step 41300 | Loss: 0.5029 Acc: 91.64%
Step 41400 | Loss: 0.5096 Acc: 90.73%
Step 41500 | Loss: 0.5343 Acc: 90.04%
Step 41600 | Loss: 0.5134 Acc: 91.01%
Step 41700 | Loss: 0.4923 Acc: 91.43%
Step 41800 | Loss: 0.5077 Acc: 90.72%
Step 41900 | Loss: 0.5390 Acc: 89.49%
Step 42000 | Loss: 0.5187 Acc: 89.90%
Step 42100 | Loss: 0.4986 Acc: 91.38%
Step 42200 | Loss: 0.4927 Acc: 91.59%
Step 42300 | Loss: 0.5086 Acc: 90.67%
Step 42400 | Loss: 0.5022 Acc: 90.81%
Step 42500 | Loss: 0.5030 Acc: 90.93%
Step 42600 | Loss: 0.5211 Acc: 90.34%
Step 42700 | Loss: 0.5194 Acc: 90.72%
Step 42800 | Loss: 0.4894 Acc: 91.68%
Step 42900 | Loss: 0.4986 Acc: 91.21%
Step 43000 | Loss: 0.4943 Acc: 91.68%
Step 43100 | Loss: 0.5149 Acc: 90.79%
